"id","model","year","transmission","mileage","fueltype","tax","mpg","engineSize"
13106,"Fiesta",2018,"Manual",14300,"Petrol",145,65.7,1
15283,"C-MAX",2017,"Manual",45830,"Diesel",20,68.9,1.5
3958,"C-MAX",2019,"Automatic",13807,"Diesel",145,56.5,1.5
12896,"Focus",2019,"Automatic",6501,"Petrol",145,39.2,1.5
6097,"Kuga",2017,"Semi-Auto",10481,"Diesel",145,58.9,1.5
7557,"Fiesta",2016,"Manual",32111,"Petrol",0,65.7,1
13169,"Focus",2018,"Manual",22243,"Petrol",150,57.7,1
6287,"Focus",2019,"Automatic",5671,"Diesel",145,64.2,2
9662,"EcoSport",2018,"Manual",10541,"Petrol",150,54.3,1
8433,"Fiesta",2016,"Manual",23209,"Petrol",0,65.7,1
1616,"Fiesta",2018,"Manual",14435,"Petrol",145,65.7,1
15487,"Focus",2016,"Manual",27036,"Diesel",0,74.3,1.5
4875,"Kuga",2019,"Manual",8712,"Diesel",150,47.9,2
7246,"Focus",2018,"Manual",14858,"Petrol",145,57.7,1
4523,"Focus",2017,"Manual",20613,"Petrol",145,60.1,1
2417,"Kuga",2017,"Manual",9587,"Diesel",150,60.1,2
16076,"Fiesta",2018,"Manual",37960,"Petrol",145,65.7,1
15794,"Fiesta",2018,"Manual",27461,"Petrol",145,64.2,1.1
16857,"Fiesta",2016,"Manual",45000,"Petrol",20,62.8,1
4119,"Fiesta",2017,"Manual",10602,"Petrol",145,54.3,1.2
12692,"Fiesta",2019,"Manual",7156,"Petrol",145,58.9,1
13508,"Fiesta",2015,"Manual",28000,"Petrol",0,65.7,1
1496,"Fiesta",2018,"Manual",8324,"Petrol",145,64.2,1.1
10854,"Galaxy",2018,"Manual",31504,"Diesel",145,56.5,2
2199,"Grand C-MAX",2017,"Semi-Auto",15866,"Diesel",30,58.9,1.5
12142,"Fiesta",2015,"Manual",30200,"Petrol",20,62.8,1
11696,"Fiesta",2017,"Manual",13195,"Petrol",0,65.7,1
8485,"Fiesta",2018,"Manual",13240,"Petrol",145,65.7,1
15087,"Kuga",2017,"Manual",27970,"Diesel",150,60.1,2
11021,"Kuga",2019,"Manual",1987,"Petrol",145,35.3,1.5
11939,"Focus",2019,"Manual",4210,"Petrol",150,58.9,1
11289,"B-MAX",2017,"Manual",5698,"Petrol",145,57.7,1
5195,"Grand Tourneo Connect",2015,"Manual",94362,"Diesel",125,58.9,1.6
2947,"Fiesta",2018,"Manual",12053,"Petrol",145,60.1,1
16934,"Kuga",2016,"Manual",46729,"Diesel",125,60.1,2
9900,"Kuga",2017,"Semi-Auto",17776,"Diesel",145,58.9,1.5
5570,"Fiesta",2018,"Manual",5415,"Petrol",145,65.7,1
893,"Fiesta",2017,"Manual",11474,"Petrol",145,64.2,1.1
2548,"Focus",2019,"Manual",11507,"Petrol",145,60.1,1
6624,"Fiesta",2017,"Manual",8519,"Petrol",20,62.8,1
16827,"Focus",2011,"Manual",30000,"Petrol",145,47.9,1.6
9093,"Focus",2019,"Manual",8288,"Petrol",145,58.9,1
17953,"Fiesta",2017,"Automatic",16303,"Petrol",0,57.7,1
2884,"Fiesta",2015,"Manual",69043,"Petrol",0,65.7,1
4702,"Focus",2017,"Manual",27188,"Petrol",145,41.5,2
7752,"Focus",2018,"Manual",22143,"Petrol",150,60.1,1
5713,"Fiesta",2013,"Manual",23222,"Petrol",0,65.7,1
16293,"Fiesta",2018,"Manual",22790,"Petrol",145,58.9,1
4272,"EcoSport",2016,"Manual",29387,"Diesel",30,64.2,1.5
5092,"Fiesta",2017,"Manual",22560,"Petrol",145,54.3,1.2
6887,"Fiesta",2018,"Manual",30940,"Petrol",145,56.5,1
10803,"Fiesta",2017,"Manual",39078,"Petrol",145,65.7,1
200,"Ka+",2018,"Manual",12231,"Petrol",145,47.9,1.2
13210,"EcoSport",2019,"Manual",1000,"Petrol",145,51.4,1
13089,"EcoSport",2016,"Manual",15923,"Diesel",30,64.2,1.5
11675,"Focus",2015,"Manual",70232,"Diesel",0,74.3,1.5
8561,"Fiesta",2016,"Manual",21000,"Petrol",125,54.3,1.2
9514,"Fiesta",2017,"Manual",14628,"Petrol",145,65.7,1
6738,"Focus",2017,"Manual",30387,"Petrol",150,60.1,1
14860,"Fiesta",2014,"Manual",63958,"Petrol",145,47.9,1.6
13534,"B-MAX",2013,"Manual",54250,"Petrol",150,47.1,1.4
12733,"Focus",2019,"Manual",2667,"Petrol",145,49.6,1
15766,"Kuga",2017,"Manual",24293,"Diesel",145,54.3,2
1590,"B-MAX",2017,"Manual",22522,"Diesel",0,74.3,1.5
11200,"EcoSport",2020,"Manual",755,"Petrol",145,53.3,1
3779,"Kuga",2019,"Manual",14375,"Diesel",145,47.9,2
827,"Focus",2013,"Manual",37966,"Petrol",30,56.5,1
13743,"Fiesta",2019,"Automatic",7295,"Petrol",145,48.7,1
9970,"Kuga",2018,"Manual",22770,"Petrol",150,45.6,1.5
11894,"EcoSport",2017,"Manual",10778,"Diesel",30,64.2,1.5
14004,"KA",2009,"Manual",6000,"Petrol",30,55.4,1.2
11522,"KA",2013,"Manual",60000,"Petrol",30,57.7,1.2
1890,"Fiesta",2016,"Manual",8854,"Petrol",125,54.3,1.2
16952,"Focus",2015,"Manual",91000,"Diesel",20,67.3,1.6
2782,"Focus",2013,"Manual",80146,"Diesel",20,67.3,1.6
14156,"Kuga",2013,"Manual",75282,"Diesel",200,47.9,2
14204,"B-MAX",2015,"Automatic",23115,"Petrol",160,44.1,1.6
3619,"Fiesta",2016,"Manual",28595,"Petrol",0,65.7,1
16726,"Fiesta",2016,"Manual",39949,"Petrol",125,54.3,1.2
1094,"C-MAX",2014,"Manual",32123,"Petrol",30,55.4,1
9712,"Fiesta",2017,"Manual",22402,"Petrol",150,65.7,1
13407,"C-MAX",2018,"Manual",4628,"Petrol",150,48.7,1
5270,"Fiesta",2016,"Semi-Auto",16830,"Petrol",0,57.7,1
16487,"Mondeo",2016,"Automatic",79319,"Diesel",125,57.7,2
3371,"Fiesta",2018,"Manual",9250,"Petrol",150,65.7,1
15632,"Focus",2016,"Automatic",80468,"Diesel",30,61.4,2
902,"Kuga",2019,"Manual",6618,"Diesel",145,45.6,1.5
2776,"Kuga",2017,"Manual",16814,"Diesel",145,64.2,1.5
2669,"Kuga",2017,"Manual",8543,"Diesel",145,64.2,1.5
8670,"Fiesta",2017,"Manual",24013,"Petrol",150,65.7,1
16702,"Focus",2015,"Manual",45596,"Petrol",20,61.4,1
3339,"Fiesta",2018,"Manual",33116,"Petrol",150,65.7,1
8498,"Focus",2017,"Manual",23572,"Petrol",125,51.4,1.5
11251,"EcoSport",2018,"Manual",23776,"Petrol",145,54.3,1
1435,"Fiesta",2017,"Manual",27667,"Petrol",145,64.2,1.1
12422,"Fiesta",2017,"Manual",26850,"Petrol",0,65.7,1
2439,"Fiesta",2017,"Manual",19096,"Petrol",145,65.7,1
15939,"Fiesta",2013,"Manual",45761,"Petrol",30,54.3,1.2
4785,"Fiesta",2015,"Manual",25409,"Petrol",125,54.3,1.2
15182,"Focus",2015,"Manual",38773,"Diesel",20,67.3,2
10420,"Focus",2019,"Manual",12981,"Petrol",150,49.6,1
11149,"Focus",2018,"Manual",8455,"Petrol",145,60.1,1
13752,"Kuga",2019,"Automatic",5286,"Diesel",145,38.7,2
2234,"Focus",2020,"Manual",295,"Petrol",145,60.1,1
17912,"C-MAX",2017,"Manual",24832,"Petrol",145,55.4,1
16821,"Focus",2011,"Manual",54901,"Petrol",145,47.9,1.6
16020,"Mondeo",2018,"Automatic",31345,"Diesel",145,45.6,2
13685,"Kuga",2016,"Manual",63815,"Diesel",145,54.3,2
13757,"Fiesta",2018,"Manual",20288,"Petrol",145,65.7,1
5300,"Fiesta",2018,"Manual",21618,"Petrol",145,65.7,1
10440,"Focus",2018,"Manual",19500,"Petrol",145,58.9,1
269,"Focus",2017,"Semi-Auto",4735,"Petrol",125,51.4,1
17362,"Kuga",2013,"Automatic",112000,"Diesel",200,45.6,2
3596,"Fiesta",2019,"Manual",4570,"Petrol",145,48.7,1.1
13056,"Puma",2019,"Manual",1451,"Petrol",145,50.4,1
12244,"Fiesta",2015,"Manual",26514,"Petrol",0,65.7,1
2998,"Fiesta",2018,"Manual",17522,"Petrol",145,58.9,1
5874,"Fiesta",2015,"Manual",24860,"Petrol",125,54.3,1.2
9181,"Focus",2018,"Manual",19371,"Petrol",150,60.1,1
11715,"Fiesta",2017,"Manual",14899,"Petrol",125,54.3,1.2
3120,"Ka+",2016,"Manual",28020,"Petrol",30,57.7,1.2
6924,"Mondeo",2019,"Manual",33,"Diesel",145,65.7,2
16239,"Fiesta",2007,"Manual",62596,"Petrol",145,47.1,1.2
11610,"Fiesta",2014,"Manual",40885,"Diesel",0,76.4,1.5
10149,"Fiesta",2018,"Manual",36000,"Petrol",145,64.2,1.1
10756,"Edge",2018,"Automatic",2889,"Diesel",145,37.2,2
17152,"Kuga",2016,"Manual",16686,"Diesel",150,54.3,2
6229,"Focus",2019,"Automatic",3277,"Diesel",145,51.4,2
13974,"Fiesta",2017,"Manual",23076,"Petrol",20,62.8,1
9210,"Focus",2013,"Manual",58110,"Diesel",20,67.3,1.6
16884,"Focus",2016,"Manual",44973,"Diesel",0,83.1,1.5
6201,"Fiesta",2016,"Manual",32742,"Petrol",145,47.9,1.6
4614,"Fiesta",2018,"Manual",15253,"Petrol",145,58.9,1
12345,"EcoSport",2018,"Manual",13000,"Petrol",150,54.3,1
1173,"EcoSport",2018,"Manual",17653,"Petrol",150,54.3,1
2920,"Focus",2019,"Manual",8387,"Diesel",145,80.7,1.5
7063,"S-MAX",2016,"Manual",56583,"Diesel",125,56.5,2
4608,"Kuga",2018,"Manual",9500,"Petrol",145,45.6,1.5
1294,"C-MAX",2017,"Manual",17020,"Petrol",150,55.4,1
1486,"Mondeo",2016,"Manual",20709,"Diesel",0,78.5,1.5
8323,"Fiesta",2015,"Manual",21696,"Petrol",0,65.7,1
11982,"Fiesta",2019,"Manual",60,"Petrol",145,58.9,1
16853,"Focus",2013,"Manual",43000,"Petrol",150,47.9,1.6
6169,"Fiesta",2017,"Manual",17314,"Petrol",0,65.7,1
11468,"Edge",2017,"Semi-Auto",15600,"Diesel",160,48.7,2
6874,"Fiesta",2017,"Manual",16136,"Petrol",0,65.7,1
3419,"Kuga",2019,"Semi-Auto",7561,"Diesel",145,37.2,2
12539,"Kuga",2017,"Manual",23314,"Petrol",145,45.6,1.5
9923,"Kuga",2017,"Manual",20409,"Petrol",145,45.6,1.5
13145,"Fiesta",2018,"Manual",7606,"Petrol",145,58.9,1
6783,"Focus",2017,"Manual",21063,"Diesel",0,74.3,1.5
830,"Fiesta",2017,"Manual",23494,"Petrol",150,62.8,1
9997,"Focus",2019,"Manual",18800,"Petrol",145,58.9,1
15863,"Focus",2013,"Automatic",35850,"Petrol",165,44.1,1.6
8450,"Focus",2018,"Manual",4657,"Petrol",145,60.1,1
3823,"Kuga",2017,"Manual",15746,"Diesel",145,64.2,1.5
13555,"Fiesta",2016,"Manual",28500,"Petrol",0,65.7,1
2003,"Kuga",2019,"Manual",18406,"Diesel",145,64.2,1.5
1069,"C-MAX",2017,"Manual",42581,"Diesel",20,68.9,1.5
660,"Fiesta",2019,"Manual",20388,"Petrol",145,58.9,1
9460,"Kuga",2019,"Manual",5071,"Diesel",145,39.2,2
17921,"EcoSport",2019,"Manual",600,"Petrol",145,51.4,1
10351,"Focus",2017,"Manual",17530,"Petrol",145,60.1,1
16812,"Mondeo",2005,"Manual",108000,"Petrol",260,36.2,1.8
12632,"Fiesta",2018,"Manual",12372,"Diesel",145,85.6,1.5
3320,"EcoSport",2017,"Manual",27827,"Diesel",145,64.2,1.5
6663,"Kuga",2018,"Manual",31569,"Diesel",145,54.3,1.5
17446,"S-MAX",2015,"Automatic",18000,"Diesel",145,52.3,2
5850,"Fiesta",2018,"Manual",12268,"Petrol",145,64.2,1.1
7305,"Fiesta",2016,"Manual",47327,"Petrol",125,54.3,1.2
2597,"Fiesta",2014,"Manual",28371,"Petrol",0,65.7,1
16542,"Focus",2016,"Manual",30341,"Diesel",20,67.3,2
16923,"C-MAX",2016,"Manual",28136,"Diesel",20,68.9,1.5
10249,"Ka+",2017,"Manual",8887,"Petrol",145,57.7,1.2
14104,"Focus",2015,"Manual",47000,"Petrol",200,41.5,2
7395,"Ka+",2018,"Manual",7273,"Petrol",145,48.7,1.2
12831,"Fiesta",2017,"Manual",61564,"Petrol",0,65.7,1
14924,"Kuga",2017,"Manual",29004,"Diesel",150,54.3,2
17500,"Kuga",2017,"Manual",28586,"Diesel",145,60.1,2
7678,"Kuga",2019,"Manual",5286,"Petrol",145,39.2,1.5
4527,"Fiesta",2017,"Manual",18363,"Diesel",145,78.5,1.5
10091,"Ka+",2018,"Manual",13561,"Petrol",150,47.9,1.2
2283,"Ka+",2017,"Manual",28215,"Petrol",145,57.7,1.2
5673,"Kuga",2017,"Manual",9647,"Diesel",145,60.1,2
10937,"Fiesta",2016,"Manual",27128,"Petrol",20,62.8,1
9795,"Focus",2018,"Manual",8459,"Petrol",145,51.4,1.5
13476,"Focus",2011,"Automatic",87600,"Petrol",160,44.1,1.6
4733,"Kuga",2017,"Manual",16654,"Diesel",145,54.3,2
9637,"Kuga",2018,"Manual",13898,"Diesel",145,60.1,2
14783,"Fiesta",2019,"Manual",2698,"Petrol",150,58.9,1
5994,"Fiesta",2018,"Manual",28564,"Petrol",145,65.7,1
44,"Fiesta",2019,"Manual",7,"Petrol",145,48.7,1.1
12707,"Focus",2017,"Manual",18022,"Diesel",145,67.3,2
8505,"Focus",2018,"Manual",11296,"Petrol",145,58.9,1
4965,"Fiesta",2017,"Manual",22084,"Petrol",125,54.3,1.2
4427,"EcoSport",2018,"Manual",8911,"Petrol",145,54.3,1
3615,"Fiesta",2018,"Manual",20834,"Petrol",145,55.4,1.1
4038,"Kuga",2019,"Semi-Auto",1378,"Diesel",145,42.2,2
11415,"Fiesta",2016,"Manual",25590,"Petrol",0,65.7,1
6074,"Kuga",2017,"Manual",47233,"Diesel",145,54.3,2
8338,"Ka+",2018,"Manual",14148,"Petrol",145,47.9,1.2
10141,"Kuga",2017,"Manual",21469,"Diesel",30,64.2,1.5
12701,"Puma",2019,"Manual",780,"Petrol",145,50.4,1
17227,"Fiesta",2017,"Manual",26250,"Petrol",150,65.7,1
3108,"Fiesta",2014,"Manual",25000,"Petrol",30,54.3,1.2
14014,"S-MAX",2016,"Automatic",30000,"Diesel",125,56.5,2
12568,"Kuga",2019,"Manual",3801,"Diesel",150,38.2,2
3680,"B-MAX",2017,"Manual",13909,"Diesel",145,74.3,1.5
1841,"Focus",2018,"Manual",16495,"Diesel",145,80.7,1.5
14195,"Kuga",2019,"Manual",11154,"Petrol",145,34.4,1.5
11834,"Fiesta",2019,"Semi-Auto",7408,"Petrol",145,48.7,1
16123,"Kuga",2013,"Manual",58018,"Diesel",150,53.3,2
9006,"Kuga",2019,"Manual",1996,"Diesel",145,47.9,2
8826,"Focus",2018,"Manual",18770,"Petrol",145,57.7,1
918,"Fiesta",2017,"Manual",17812,"Petrol",145,54.3,1.2
1661,"Focus",2019,"Manual",16052,"Diesel",145,74.3,1.5
17554,"Kuga",2018,"Automatic",34068,"Diesel",145,47.9,2
17307,"Focus",2011,"Manual",102000,"Diesel",30,62.8,1.6
16181,"Fiesta",2019,"Manual",7694,"Petrol",145,60.1,1
2790,"Mondeo",2017,"Manual",25490,"Diesel",145,67.3,2
9573,"Focus",2018,"Manual",12234,"Diesel",145,74.3,1.5
4826,"Fiesta",2018,"Manual",16639,"Petrol",145,64.2,1.1
12148,"Kuga",2017,"Manual",19277,"Petrol",160,45.6,1.5
2505,"Kuga",2019,"Automatic",11559,"Diesel",145,37.7,2
1612,"B-MAX",2013,"Manual",43036,"Petrol",30,55.4,1
17054,"Focus",2009,"Manual",90000,"Diesel",145,54.2,1.8
13679,"Fiesta",2013,"Manual",20851,"Petrol",0,65.7,1
7103,"Mondeo",2016,"Manual",43747,"Diesel",20,67.3,2
2688,"Fiesta",2017,"Manual",17226,"Petrol",145,65.7,1
7265,"Focus",2018,"Manual",26495,"Petrol",145,61.4,1
13789,"Fiesta",2015,"Manual",55085,"Petrol",30,54.3,1.2
3992,"Kuga",2019,"Manual",10889,"Diesel",150,45.6,1.5
12584,"Galaxy",2016,"Manual",30416,"Diesel",125,56.5,2
3930,"B-MAX",2013,"Manual",20881,"Diesel",20,70.6,1.6
15369,"Fiesta",2017,"Manual",26672,"Petrol",145,47.9,1.6
15513,"Kuga",2019,"Manual",15378,"Diesel",145,38.2,2
11996,"Focus",2016,"Manual",27638,"Petrol",20,61.4,1
12170,"Fiesta",2018,"Manual",7250,"Petrol",145,65.7,1
6203,"Fiesta",2014,"Manual",22896,"Petrol",0,65.7,1
6025,"S-MAX",2017,"Manual",31315,"Petrol",150,43.5,1.5
1345,"Fiesta",2018,"Manual",10748,"Petrol",145,65.7,1
3509,"Kuga",2015,"Manual",53362,"Diesel",125,60.1,2
14243,"Fiesta",2015,"Manual",46995,"Petrol",20,62.8,1
1961,"Kuga",2017,"Automatic",13128,"Diesel",145,54.3,2
1820,"Fiesta",2017,"Manual",25219,"Petrol",145,54.3,1.2
13039,"Focus",2014,"Manual",45153,"Petrol",30,56.5,1
16961,"Fiesta",2012,"Manual",36000,"Petrol",145,48.7,1.4
5298,"Focus",2018,"Manual",17227,"Petrol",145,41.5,2
9186,"Fiesta",2017,"Manual",23804,"Petrol",145,65.7,1
11653,"Focus",2015,"Semi-Auto",31000,"Petrol",160,44.8,1.6
13177,"Fiesta",2018,"Manual",16891,"Petrol",145,65.7,1
214,"Kuga",2017,"Manual",23356,"Diesel",145,60.1,2
124,"Kuga",2018,"Manual",34690,"Diesel",145,60.1,2
1465,"Focus",2017,"Manual",23161,"Diesel",145,74.3,1.5
7225,"Fiesta",2019,"Manual",2085,"Petrol",145,55.4,1
16225,"Fiesta",2012,"Manual",26375,"Petrol",125,51.4,1.2
6493,"Focus",2019,"Manual",5342,"Petrol",145,60.1,1
1733,"Fiesta",2017,"Manual",14073,"Petrol",145,65.7,1
77,"Fiesta",2013,"Manual",74128,"Petrol",0,65.7,1
5433,"Focus",2016,"Manual",30970,"Diesel",0,74.3,1.5
1757,"Kuga",2017,"Manual",33415,"Diesel",125,60.1,2
962,"Fiesta",2017,"Manual",11806,"Petrol",0,65.7,1
15860,"C-MAX",2018,"Manual",10703,"Petrol",145,48.7,1
17363,"Fiesta",2014,"Manual",44000,"Petrol",0,65.7,1
3400,"Fiesta",2018,"Manual",7205,"Petrol",150,65.7,1
7041,"Focus",2019,"Automatic",3056,"Petrol",145,39.8,1.5
5302,"Kuga",2017,"Manual",31697,"Diesel",125,60.1,2
162,"Focus",2017,"Manual",23469,"Petrol",125,51.4,1.5
165,"Fiesta",2019,"Manual",17708,"Petrol",145,58.9,1
12703,"Fiesta",2016,"Manual",20178,"Petrol",0,65.7,1
8488,"Focus",2017,"Manual",39039,"Diesel",145,74.3,1.5
8692,"Fiesta",2018,"Manual",31520,"Petrol",145,65.7,1
14518,"Focus",2018,"Automatic",19398,"Diesel",150,61.4,2
5795,"Fiesta",2016,"Manual",31110,"Petrol",0,65.7,1
2329,"Kuga",2017,"Manual",24024,"Petrol",150,45.6,1.5
16846,"Focus",2008,"Manual",91000,"Petrol",160,51.4,1
5718,"Fiesta",2017,"Manual",38000,"Petrol",145,62.8,1
14627,"B-MAX",2017,"Manual",19913,"Petrol",145,47.1,1.4
10635,"EcoSport",2018,"Semi-Auto",3214,"Petrol",150,45.6,1
2100,"Focus",2018,"Manual",5297,"Diesel",145,57.7,1.5
1179,"Fiesta",2019,"Manual",10175,"Petrol",145,58.9,1
15671,"Kuga",2018,"Manual",24451,"Diesel",145,54.3,2
5589,"Fiesta",2016,"Manual",20242,"Petrol",0,65.7,1
15083,"B-MAX",2017,"Automatic",26825,"Petrol",150,44.1,1.6
16178,"Fiesta",2017,"Automatic",13650,"Petrol",145,57.7,1
1769,"Fiesta",2017,"Manual",33465,"Petrol",145,65.7,1
5807,"Grand C-MAX",2017,"Manual",36333,"Diesel",145,64.2,1.5
14734,"Fiesta",2016,"Manual",17330,"Petrol",0,65.7,1
9278,"Focus",2018,"Manual",6380,"Petrol",145,60.1,1
1946,"Focus",2016,"Manual",27708,"Petrol",20,60.1,1
14735,"Focus",2019,"Automatic",5700,"Diesel",145,50.4,1.5
17562,"Fiesta",2018,"Manual",16552,"Diesel",150,58.9,1.5
9026,"Kuga",2019,"Automatic",8897,"Petrol",150,29.1,1.5
5063,"Focus",2019,"Manual",9550,"Diesel",145,74.3,1.5
16690,"EcoSport",2019,"Manual",2949,"Petrol",145,53.3,1
10822,"B-MAX",2018,"Manual",12403,"Petrol",145,57.7,1
16246,"Focus",2019,"Manual",7866,"Petrol",145,49.6,1
12901,"C-MAX",2017,"Manual",37367,"Petrol",30,55.4,1
10941,"Focus",2015,"Manual",26270,"Petrol",205,41.5,2
1622,"Fiesta",2014,"Manual",60700,"Petrol",30,54.3,1.2
1586,"Fiesta",2017,"Manual",8801,"Petrol",145,54.3,1.2
14809,"Focus",2015,"Manual",89770,"Diesel",20,67.3,1.6
11976,"EcoSport",2018,"Manual",7545,"Petrol",150,54.3,1
9630,"Fiesta",2013,"Manual",36690,"Petrol",30,54.3,1.2
3070,"Focus",2016,"Manual",46038,"Diesel",0,74.3,1.5
10823,"Fiesta",2018,"Manual",10911,"Petrol",145,64.2,1.1
2308,"Kuga",2018,"Manual",17287,"Diesel",145,60.1,2
11457,"Kuga",2018,"Manual",22989,"Diesel",145,54.3,2
7825,"Focus",2019,"Manual",10500,"Petrol",145,60.1,1
9325,"Focus",2017,"Semi-Auto",8863,"Petrol",125,51.4,1
16270,"B-MAX",2014,"Manual",33190,"Diesel",20,68.9,1.5
7607,"Focus",2015,"Manual",62251,"Diesel",0,74.3,1.5
12445,"Focus",2018,"Manual",22947,"Petrol",145,60.1,1
13234,"Focus",2020,"Automatic",1868,"Petrol",150,40.9,1.5
8652,"Kuga",2019,"Manual",5787,"Diesel",150,54.3,1.5
8127,"Fiesta",2018,"Manual",6579,"Petrol",145,57.7,1
799,"Fiesta",2019,"Manual",10248,"Petrol",145,58.9,1
1490,"Focus",2019,"Manual",3756,"Petrol",145,60.1,1
17503,"Kuga",2017,"Automatic",49389,"Petrol",150,38.2,1.5
17681,"Fiesta",2009,"Manual",67253,"Petrol",145,49.6,1.2
6548,"Kuga",2017,"Manual",33717,"Diesel",125,60.1,2
1707,"Fiesta",2018,"Manual",13773,"Petrol",145,62.8,1
11326,"Fiesta",2017,"Manual",11224,"Petrol",145,65.7,1
13063,"Focus",2018,"Manual",9775,"Petrol",145,41.5,2
4552,"Kuga",2018,"Manual",14671,"Diesel",145,64.2,1.5
10889,"Fiesta",2018,"Manual",28297,"Petrol",145,62.8,1
9878,"Edge",2017,"Semi-Auto",42100,"Diesel",150,47.9,2
6470,"Fiesta",2018,"Manual",8819,"Petrol",145,65.7,1
13917,"Kuga",2017,"Manual",25913,"Diesel",30,64.2,1.5
6000,"Kuga",2018,"Manual",7714,"Petrol",145,45.6,1.5
1142,"Puma",2020,"Manual",5750,"Petrol",145,49.6,1
17321,"Fiesta",2011,"Manual",44000,"Petrol",125,50.4,1.2
11178,"Focus",2017,"Manual",18418,"Petrol",200,41.5,2
4156,"Fiesta",2017,"Manual",17855,"Petrol",145,64.2,1.1
4012,"Kuga",2016,"Manual",32600,"Diesel",145,54.3,2
8010,"Grand C-MAX",2013,"Manual",37522,"Diesel",125,60.1,1.6
9770,"Fiesta",2018,"Manual",9489,"Petrol",145,65.7,1
1573,"Focus",2015,"Manual",43636,"Diesel",0,74.3,1.5
16217,"Kuga",2018,"Manual",13425,"Diesel",145,39.2,2
17728,"Focus",2017,"Manual",20668,"Petrol",20,61.4,1
3611,"Focus",2016,"Semi-Auto",46636,"Diesel",0,67.3,1.5
479,"Focus",2017,"Manual",13861,"Petrol",145,60.1,1
10446,"Fiesta",2017,"Manual",9000,"Petrol",145,65.7,1
11357,"EcoSport",2015,"Manual",37617,"Petrol",125,53.3,1
13795,"Kuga",2016,"Manual",42934,"Diesel",125,60.1,2
2332,"Fiesta",2019,"Manual",11680,"Petrol",145,58.9,1
3214,"Kuga",2019,"Manual",8089,"Diesel",145,47.9,2
1948,"Galaxy",2017,"Manual",20488,"Diesel",125,56.5,2
17724,"Focus",2015,"Manual",22331,"Petrol",20,61.4,1
6860,"Fiesta",2017,"Manual",14710,"Petrol",125,54.3,1.2
310,"Grand Tourneo Connect",2019,"Manual",3500,"Diesel",145,61.4,1.5
1090,"Ka+",2018,"Manual",7933,"Petrol",145,57.7,1.2
13116,"Fiesta",2014,"Manual",24803,"Petrol",30,54.3,1.2
