"id","sentiment","confidence","negativereason","negativeconfidence","airline"
570246490473566208,"negative",0.6458,"Customer Service Issue",0.6458,"Southwest"
569337969233887232,"negative",1,"Can't Tell",0.6526,"United"
569915029950222336,"negative",1,"Late Flight",0.66,"United"
569632584424153088,"negative",0.6385,"Flight Booking Problems",0.6385,"American"
569927842173050880,"neutral",0.3603,NA,0,"United"
569869808092749824,"negative",1,"Cancelled Flight",1,"United"
567712600772050944,"negative",0.6716,"Late Flight",0.6716,"US Airways"
569880322487263232,"negative",1,"Late Flight",1,"United"
567816475898310656,"neutral",0.6954,NA,0,"United"
568239189055176704,"negative",1,"Late Flight",0.6544,"Delta"
568136946016522240,"negative",1,"Can't Tell",1,"Virgin America"
569642200595898368,"negative",1,"Bad Flight",0.6646,"American"
569700953164615680,"negative",1,"Can't Tell",0.3861,"American"
567778403755900928,"neutral",1,NA,NA,"Southwest"
570045020402626560,"negative",1,"Bad Flight",0.6392,"United"
569971216934526976,"negative",0.7052,"Customer Service Issue",0.3808,"American"
570203842542829568,"negative",1,"Bad Flight",1,"Southwest"
568100858954522624,"negative",1,"Can't Tell",0.6902,"United"
569659137581326336,"negative",1,"Flight Attendant Complaints",1,"US Airways"
569889833297915904,"negative",1,"Customer Service Issue",1,"American"
569884033775063040,"neutral",1,NA,NA,"American"
568502870435336192,"neutral",0.6774,NA,NA,"Southwest"
570066805810601984,"negative",1,"Lost Luggage",1,"United"
568826425538519040,"negative",1,"Customer Service Issue",1,"US Airways"
569894088209596416,"positive",1,NA,NA,"Southwest"
570214660638511104,"positive",0.6632,NA,0,"United"
568139693574848512,"negative",1,"Customer Service Issue",0.6989,"US Airways"
570136977074491392,"negative",1,"Can't Tell",0.3635,"United"
567742148603170816,"neutral",1,NA,NA,"Virgin America"
568778986567933952,"negative",1,"Customer Service Issue",0.3583,"United"
