"ID","Warehouse_block","Mode_of_Shipment","Customer_care_calls","Customer_rating","Cost_of_the_Product","Prior_purchases","Product_importance","Gender","Discount_offered","Weight_in_gms"
8749,"D","Road",4,5,258,3,"low","M",8,4046
8479,"D","Road",3,4,260,5,"low","M",2,4461
6473,"C","Ship",3,5,270,3,"medium","M",7,5477
6995,"C","Flight",4,3,254,2,"low","M",3,5546
9714,"F","Road",4,2,247,5,"low","M",10,1515
858,"F","Ship",5,2,239,5,"medium","M",24,2472
6763,"D","Ship",2,1,277,6,"low","M",10,4165
9182,"F","Flight",7,3,247,4,"medium","M",5,1060
316,"B","Ship",4,2,138,3,"low","F",30,1805
733,"D","Ship",6,3,281,3,"medium","M",11,2135
6273,"A","Ship",6,5,279,4,"low","M",7,1447
4907,"C","Road",3,1,223,3,"low","M",8,5318
5051,"C","Road",4,3,192,3,"low","F",10,4068
2330,"F","Flight",4,2,192,4,"low","F",61,2256
9359,"C","Ship",6,1,309,4,"medium","F",10,1904
6429,"A","Road",3,5,139,2,"low","M",2,5839
3992,"F","Ship",3,4,211,3,"low","F",6,5890
1706,"F","Ship",3,2,262,3,"low","M",54,3150
501,"A","Ship",3,4,212,2,"low","M",33,2021
6655,"D","Ship",3,5,202,2,"medium","M",3,5746
536,"F","Road",4,4,177,4,"medium","F",32,1774
6881,"C","Ship",4,4,247,6,"low","F",4,1044
7507,"D","Ship",7,5,253,4,"low","F",6,1344
7514,"F","Road",6,1,253,4,"low","M",10,1962
3747,"A","Ship",2,2,180,2,"high","M",1,4407
5163,"A","Ship",3,3,273,2,"medium","F",7,5491
29,"C","Ship",2,3,234,4,"low","M",44,3134
1942,"B","Ship",3,2,183,4,"low","M",49,2414
4934,"F","Flight",5,4,200,3,"medium","F",8,5206
1820,"F","Ship",2,3,169,3,"medium","M",48,1279
2281,"D","Ship",4,4,223,10,"low","M",24,3271
9509,"C","Ship",3,5,137,3,"low","M",3,5497
1966,"B","Ship",3,4,226,3,"medium","F",26,2299
8561,"C","Ship",5,4,221,6,"medium","M",6,1488
10691,"C","Flight",3,3,159,2,"medium","F",6,5269
4182,"F","Ship",4,5,169,2,"low","F",10,4248
5603,"C","Road",4,2,233,3,"low","F",3,5740
5742,"F","Road",4,2,149,2,"medium","M",8,5460
8547,"A","Ship",2,5,212,2,"high","F",3,4389
5939,"C","Ship",4,1,220,3,"medium","F",6,4472
6956,"F","Ship",5,2,257,3,"low","F",2,4677
9265,"D","Ship",4,3,255,4,"medium","F",10,4740
8553,"A","Ship",4,4,228,5,"low","F",1,1788
9532,"B","Ship",2,1,208,2,"low","M",10,4671
9458,"F","Flight",4,4,260,5,"low","F",5,1178
6902,"F","Ship",6,5,266,4,"low","F",6,1201
10033,"D","Ship",3,3,224,6,"medium","M",10,4221
2866,"B","Road",5,1,109,2,"high","M",23,1479
8943,"A","Ship",3,1,266,3,"low","F",8,4574
219,"A","Ship",3,4,148,3,"low","M",37,1523
8327,"C","Ship",4,4,232,5,"medium","M",2,1386
532,"B","Road",2,4,179,2,"low","F",19,1900
3123,"A","Ship",4,1,237,4,"medium","F",22,2231
9104,"F","Ship",5,3,253,5,"low","M",6,1028
6611,"C","Ship",6,4,283,4,"medium","M",1,1384
2178,"F","Road",4,4,139,3,"high","F",64,1415
5936,"F","Ship",4,1,271,4,"low","M",9,5853
7233,"A","Ship",5,2,174,4,"medium","M",8,5627
5932,"B","Ship",2,5,189,5,"low","M",3,5292
4455,"A","Ship",3,1,171,2,"medium","F",7,4010
2153,"C","Ship",4,2,191,2,"low","M",11,3985
1148,"F","Ship",5,5,174,6,"medium","F",26,1184
1101,"A","Flight",5,2,260,2,"medium","M",23,3962
1242,"F","Flight",4,5,227,4,"low","F",20,2217
1218,"F","Road",4,3,135,2,"medium","F",37,1597
4115,"C","Flight",2,1,156,3,"medium","M",3,5937
8465,"C","Ship",4,3,241,2,"medium","M",3,4636
418,"B","Flight",5,5,133,3,"low","M",63,1218
6563,"C","Road",4,3,256,5,"low","F",5,1533
867,"A","Ship",4,1,199,2,"low","F",46,3371
4499,"C","Road",3,4,269,2,"medium","M",6,5951
3821,"C","Road",3,4,144,10,"high","M",8,4440
9803,"C","Ship",4,2,204,3,"medium","F",3,4001
5897,"C","Flight",4,2,252,3,"low","F",1,4176
818,"F","Flight",5,2,247,3,"low","M",32,3645
10844,"F","Ship",4,1,154,2,"low","M",1,5578
4730,"F","Ship",5,3,251,2,"low","M",9,4458
664,"B","Road",3,2,178,2,"medium","F",22,1247
719,"C","Ship",4,5,187,2,"low","M",44,3218
500,"F","Ship",5,1,201,3,"low","F",47,2657
3045,"A","Ship",4,4,243,3,"low","M",10,3327
6816,"F","Ship",4,1,255,5,"low","F",4,1005
6373,"D","Ship",3,5,156,4,"low","M",5,4661
8615,"C","Road",6,3,260,4,"low","M",4,1358
8159,"C","Ship",3,2,227,3,"medium","M",6,5058
8613,"A","Road",5,1,242,5,"low","M",9,1767
9181,"D","Flight",7,3,302,4,"medium","F",7,1915
3598,"B","Ship",3,5,118,4,"low","F",10,5699
3700,"B","Flight",3,2,267,3,"low","M",8,5922
5136,"F","Ship",4,4,240,2,"medium","F",4,5101
10511,"C","Ship",3,2,195,2,"high","M",2,4669
9346,"B","Ship",4,1,157,2,"medium","F",7,4690
10817,"C","Road",3,3,176,3,"medium","M",9,5575
8696,"F","Ship",3,1,187,3,"medium","M",7,4607
785,"C","Ship",3,1,209,2,"low","M",43,2237
6789,"A","Ship",3,4,250,6,"medium","M",1,4543
7131,"A","Flight",4,3,169,6,"medium","M",3,5957
8053,"D","Ship",6,4,253,4,"medium","M",9,1488
1572,"F","Ship",5,2,151,4,"low","M",12,1145
4401,"A","Flight",4,3,255,6,"low","M",3,4278
1833,"A","Ship",3,4,166,2,"medium","F",58,1319
2461,"D","Road",3,3,199,2,"low","M",4,3553
10816,"B","Road",3,2,216,2,"low","F",1,4350
4225,"D","Road",2,4,246,2,"medium","M",1,5374
309,"A","Ship",4,2,165,2,"high","M",11,1596
7892,"F","Ship",4,4,166,2,"low","M",8,5192
4078,"B","Ship",4,5,233,4,"low","F",6,4705
7146,"F","Ship",5,4,243,5,"low","F",2,1637
8633,"C","Flight",7,1,255,4,"medium","F",3,1450
3189,"A","Ship",3,3,213,10,"medium","M",2,4847
470,"F","Ship",3,5,183,3,"low","F",2,3459
1360,"B","Road",5,5,263,2,"medium","M",59,3238
1822,"B","Ship",4,4,226,5,"medium","F",12,2708
1790,"F","Flight",5,2,231,4,"medium","M",41,2992
8541,"A","Ship",3,4,195,10,"low","M",5,5950
8066,"F","Road",2,3,133,4,"low","F",5,5989
3144,"F","Road",3,3,253,3,"medium","M",7,5085
9086,"F","Ship",5,5,140,8,"medium","M",2,4793
4686,"F","Ship",4,3,195,2,"low","M",8,4576
10148,"F","Flight",6,2,282,4,"medium","F",9,1385
8666,"F","Ship",4,4,201,3,"low","F",2,5385
10843,"D","Ship",5,5,251,2,"medium","F",5,5178
5048,"F","Road",4,4,266,3,"low","M",4,5905
455,"C","Ship",4,5,133,3,"low","F",53,1467
6500,"F","Ship",6,1,287,4,"medium","F",1,1581
7793,"C","Road",3,1,194,3,"medium","F",4,5383
3306,"F","Ship",5,1,208,2,"low","F",8,5218
6217,"D","Ship",6,3,292,4,"low","F",8,1434
8207,"C","Road",4,5,206,3,"medium","M",5,5785
4158,"F","Ship",3,1,243,2,"medium","M",10,5460
4486,"B","Ship",5,3,215,4,"low","M",5,5915
9860,"F","Flight",4,4,160,4,"low","M",1,5520
9251,"C","Ship",4,2,198,3,"medium","M",10,5487
5987,"C","Ship",5,2,265,3,"low","M",8,5447
10985,"C","Ship",5,1,257,5,"medium","M",1,1102
5447,"C","Ship",4,1,236,3,"low","F",4,4248
6809,"C","Ship",3,3,242,2,"low","F",7,4501
8174,"F","Ship",4,2,181,3,"medium","M",4,5717
10789,"D","Ship",4,3,241,5,"low","M",6,1324
4096,"B","Road",4,2,239,2,"medium","F",9,4360
10204,"B","Ship",5,1,245,5,"low","M",9,1694
6887,"C","Ship",6,3,278,4,"high","F",3,1033
4084,"B","Road",3,4,172,10,"high","M",9,4883
2110,"B","Ship",4,3,149,2,"low","F",58,1657
1172,"F","Ship",3,1,251,3,"medium","F",18,2240
797,"C","Road",4,4,248,4,"low","F",49,2322
10959,"A","Flight",5,2,264,8,"high","M",2,5252
9788,"F","Ship",2,1,206,2,"low","M",7,4721
4072,"B","Ship",3,3,228,3,"medium","F",8,4927
5057,"C","Road",3,3,157,4,"medium","F",2,5684
7452,"F","Ship",4,1,246,6,"low","M",4,1489
10271,"C","Flight",4,5,157,3,"medium","M",10,5898
5388,"F","Ship",5,2,226,3,"medium","M",6,4700
2762,"F","Ship",3,1,193,2,"medium","F",23,2728
8802,"F","Ship",5,2,164,3,"medium","F",6,4302
1265,"C","Ship",4,3,142,2,"medium","F",63,1615
7812,"F","Flight",5,4,228,4,"high","F",7,5913
10893,"A","Ship",4,5,167,2,"low","F",7,5800
2265,"A","Ship",4,5,155,4,"high","F",48,1972
2156,"F","Ship",4,3,212,4,"low","M",28,2422
6415,"D","Road",5,2,168,2,"low","F",10,5225
5390,"F","Ship",5,4,139,3,"medium","F",6,5721
10880,"F","Ship",5,3,265,2,"low","F",4,4641
7151,"C","Ship",5,5,274,5,"low","M",7,1875
5458,"B","Road",2,3,225,7,"high","M",7,4009
5729,"C","Road",5,5,227,5,"medium","F",3,1687
1760,"F","Road",5,4,195,2,"low","M",4,3108
5704,"B","Ship",5,5,248,2,"low","M",4,5587
5685,"A","Ship",3,1,212,3,"medium","M",10,5759
4664,"F","Flight",5,1,233,4,"high","M",2,4615
4075,"D","Ship",3,3,185,3,"medium","M",4,4111
5474,"F","Road",4,5,266,3,"medium","M",8,4889
7525,"D","Road",4,3,165,2,"medium","M",10,4351
4212,"F","Ship",4,3,144,2,"low","F",5,4882
10235,"C","Ship",5,5,226,4,"low","F",10,5676
3070,"B","Ship",4,4,162,2,"medium","M",8,1386
5353,"D","Flight",5,4,235,2,"medium","M",9,5549
7439,"C","Ship",3,5,275,4,"medium","M",10,5066
9655,"D","Ship",6,3,304,4,"low","M",5,1215
9413,"C","Ship",6,3,304,4,"low","F",9,1401
462,"F","Ship",3,4,220,7,"low","M",43,2620
10149,"A","Flight",5,3,243,6,"medium","F",10,1189
6443,"C","Flight",4,3,186,3,"medium","F",9,5131
10475,"C","Ship",3,4,236,4,"medium","M",2,1016
4049,"C","Ship",5,2,160,3,"high","M",3,4599
6657,"A","Ship",4,2,185,3,"medium","M",1,5338
9690,"F","Ship",7,1,301,4,"low","F",6,1052
10413,"A","Flight",5,5,248,5,"medium","M",8,1881
10742,"F","Ship",5,3,218,5,"medium","F",4,1433
7888,"B","Ship",4,3,137,3,"medium","M",9,5016
2033,"C","Road",3,4,195,2,"medium","F",32,3719
731,"C","Ship",4,5,264,3,"medium","M",16,2245
7039,"D","Ship",6,1,264,3,"high","F",5,4435
2813,"C","Ship",3,2,173,3,"medium","F",37,1990
3805,"D","Ship",3,3,157,3,"low","M",9,5807
4771,"D","Road",4,5,180,3,"medium","F",1,5088
966,"F","Flight",5,2,231,2,"medium","F",55,3894
10684,"B","Flight",3,3,176,8,"medium","M",10,4376
9383,"C","Ship",3,5,144,3,"medium","F",9,5912
6193,"D","Ship",3,4,236,3,"medium","M",1,5851
10209,"A","Ship",5,2,263,6,"low","M",2,1851
5591,"C","Road",5,5,195,4,"medium","M",1,4482
5793,"A","Ship",5,1,240,5,"medium","M",1,1200
8483,"C","Road",6,4,150,5,"medium","F",8,4709
4749,"A","Ship",5,3,199,10,"medium","F",1,5865
8439,"A","Ship",6,5,246,5,"high","F",3,4660
2482,"B","Flight",3,3,142,3,"medium","M",23,1897
6885,"A","Ship",6,3,139,6,"medium","F",8,1284
3388,"B","Ship",5,5,244,3,"low","M",9,5695
3418,"B","Road",5,3,194,4,"low","F",2,5396
2722,"B","Road",4,4,238,3,"low","F",13,2042
2884,"B","Flight",3,1,248,3,"low","M",9,2616
56,"F","Ship",2,5,246,5,"low","M",46,2437
7193,"C","Ship",4,4,229,6,"low","M",2,1279
934,"B","Road",4,4,206,3,"medium","F",33,2804
7640,"F","Ship",4,3,248,2,"medium","F",10,5211
8109,"A","Ship",3,3,195,3,"low","M",1,4224
4590,"F","Ship",5,5,106,5,"medium","F",4,4410
7883,"C","Ship",3,2,186,2,"low","M",7,5522
3552,"F","Road",6,1,163,4,"high","M",3,4031
10344,"F","Ship",2,1,109,4,"low","F",3,5264
5123,"C","Ship",4,5,176,4,"medium","M",6,5061
6803,"C","Ship",4,2,173,3,"high","F",3,5364
4257,"A","Flight",3,1,166,2,"low","F",10,5932
10624,"B","Ship",5,5,161,3,"high","F",7,5338
127,"D","Road",4,5,220,3,"medium","M",40,3516
717,"A","Ship",5,3,236,3,"high","F",47,3519
10688,"F","Flight",2,4,258,3,"medium","M",7,5736
9644,"F","Ship",5,3,170,3,"medium","M",6,5226
7715,"C","Ship",5,2,228,5,"low","M",6,1726
7447,"D","Ship",5,2,174,3,"medium","F",10,4902
676,"B","Road",4,4,227,3,"medium","F",1,2761
10185,"A","Ship",7,5,254,4,"medium","F",1,1347
10965,"A","Flight",5,3,224,5,"low","M",5,1842
5795,"C","Ship",5,4,179,6,"medium","F",8,4615
148,"B","Flight",4,3,146,4,"medium","F",24,1844
121,"D","Road",4,2,183,3,"low","F",33,2741
8361,"A","Flight",6,2,243,4,"high","M",2,1665
8790,"F","Ship",4,3,175,3,"low","F",9,4840
1491,"A","Road",4,4,204,4,"medium","F",35,2513
2815,"D","Ship",3,3,214,2,"low","M",28,3869
9772,"B","Ship",3,5,211,2,"low","F",5,5877
1115,"C","Ship",5,2,178,3,"medium","M",60,1176
6308,"F","Flight",5,3,247,5,"low","M",10,1699
3616,"B","Ship",6,5,194,5,"low","F",8,4777
3551,"C","Road",3,1,169,2,"medium","F",1,4783
10359,"A","Ship",4,1,265,3,"low","F",4,4249
9975,"A","Road",5,2,192,2,"low","M",5,4046
6525,"A","Ship",3,1,261,8,"medium","F",9,5248
436,"B","Ship",3,1,112,2,"high","M",22,1846
2137,"D","Ship",5,3,224,2,"medium","M",52,3824
8137,"D","Ship",4,3,177,3,"low","M",1,5282
533,"C","Road",4,3,192,3,"low","F",43,3498
9573,"A","Road",3,1,195,5,"low","F",4,4034
2752,"B","Flight",5,3,225,7,"medium","F",45,3162
5592,"F","Road",2,3,201,3,"medium","M",5,5733
9038,"F","Flight",4,5,187,2,"low","M",6,4316
5191,"D","Road",4,4,231,2,"low","F",4,5825
6459,"A","Ship",3,2,198,2,"low","M",9,4250
8411,"C","Ship",3,3,241,2,"high","M",2,4836
9050,"F","Flight",3,4,238,2,"low","M",5,4349
3565,"D","Flight",3,3,263,3,"medium","F",9,5665
570,"F","Ship",4,5,265,2,"medium","F",18,2969
6976,"B","Road",4,1,137,2,"low","M",3,4657
1926,"F","Flight",5,2,161,2,"medium","F",59,1859
5666,"F","Ship",3,4,186,3,"medium","F",4,5501
1813,"D","Ship",4,2,185,2,"medium","M",4,2212
7681,"D","Flight",4,3,173,3,"medium","F",2,4351
2833,"D","Ship",2,2,168,5,"medium","F",1,1885
7885,"D","Ship",3,1,222,3,"low","M",1,5362
5694,"F","Ship",3,3,145,3,"low","F",10,5696
7981,"D","Ship",2,4,165,3,"medium","M",7,5856
10740,"F","Ship",5,3,242,5,"low","F",9,1716
10050,"F","Ship",4,2,239,4,"medium","M",8,4039
5161,"D","Ship",4,2,157,4,"low","F",6,4964
7560,"F","Ship",4,1,268,4,"medium","F",2,4543
8473,"D","Road",3,3,227,3,"medium","M",3,5644
4063,"D","Ship",6,3,98,3,"low","F",8,4651
7918,"B","Ship",3,3,264,3,"low","M",3,4970
10852,"B","Ship",5,1,241,4,"medium","M",7,5519
724,"B","Ship",5,4,140,3,"high","F",56,1332
10245,"A","Ship",3,5,283,2,"low","M",2,4207
1354,"B","Road",3,2,158,3,"medium","F",39,1512
8684,"F","Ship",6,3,267,4,"medium","M",2,5917
6164,"F","Flight",5,4,211,3,"medium","F",7,4856
3255,"A","Ship",3,4,100,3,"medium","M",4,4191
10759,"D","Ship",4,4,260,5,"low","F",5,1952
5199,"A","Road",5,5,271,4,"high","F",6,4547
10141,"D","Flight",7,1,254,4,"low","M",9,1876
8706,"F","Ship",3,1,204,3,"medium","M",4,4619
6017,"C","Road",5,3,249,4,"medium","M",1,1014
10309,"D","Ship",3,5,209,3,"medium","M",8,5591
9445,"D","Road",7,1,269,5,"medium","F",5,1402
2016,"F","Ship",5,5,166,3,"medium","F",20,1267
10381,"D","Ship",2,5,238,4,"medium","M",9,4086
132,"F","Road",3,4,144,3,"low","M",50,1865
6186,"F","Ship",3,5,157,2,"medium","F",4,5991
5094,"F","Ship",5,3,237,4,"low","F",8,5432
1659,"A","Flight",5,2,240,7,"medium","F",47,2174
10373,"C","Ship",3,3,257,2,"medium","M",5,4681
6068,"F","Ship",4,4,163,3,"low","F",5,4440
6438,"F","Flight",4,1,171,4,"medium","M",2,5082
9613,"D","Ship",5,3,170,3,"medium","F",4,4446
2312,"F","Road",3,5,191,3,"high","F",17,2235
6321,"A","Ship",5,5,228,3,"medium","F",8,4731
5040,"F","Ship",6,5,275,4,"low","M",8,1553
1839,"A","Ship",4,1,253,3,"low","M",31,3632
3505,"D","Ship",2,4,173,2,"low","M",1,4721
1838,"F","Ship",4,5,217,4,"medium","M",37,2128
9958,"B","Ship",7,4,282,4,"low","M",6,1800
5259,"A","Ship",7,3,310,4,"medium","M",8,1860
9736,"B","Flight",5,2,261,3,"high","M",3,5303
8512,"B","Ship",5,3,185,2,"low","M",2,5420
4211,"C","Ship",4,3,266,3,"medium","M",8,4493
9666,"F","Ship",7,5,289,4,"low","F",10,1074
6595,"D","Ship",6,2,267,4,"medium","F",1,1935
9434,"F","Road",4,3,241,5,"low","F",2,1442
6990,"F","Flight",3,1,187,2,"low","F",8,4292
6303,"A","Flight",7,2,307,4,"medium","M",2,1073
2167,"D","Road",3,4,244,3,"low","F",46,2844
2543,"C","Ship",2,5,190,8,"medium","M",11,2976
10210,"B","Ship",3,1,158,5,"low","M",4,1171
10014,"F","Flight",4,1,266,3,"low","M",10,4382
5914,"B","Ship",3,5,284,2,"low","M",10,5619
8301,"A","Ship",5,2,184,3,"low","F",4,4552
3760,"B","Ship",2,3,230,3,"low","F",4,5127
6663,"A","Ship",4,1,200,4,"medium","M",3,5837
2587,"D","Road",4,4,196,2,"low","F",6,2718
8945,"C","Ship",4,5,201,3,"low","F",1,5898
10917,"A","Ship",5,1,224,5,"low","M",1,1600
7935,"A","Road",2,2,165,3,"medium","F",10,4080
393,"A","Road",4,4,178,4,"medium","F",13,1614
8840,"F","Ship",7,1,255,4,"medium","F",8,1088
7046,"F","Ship",4,4,153,5,"medium","M",9,5818
7923,"A","Road",4,5,169,4,"low","M",5,5347
4208,"F","Ship",3,5,167,2,"low","F",2,4141
5147,"C","Ship",3,4,243,4,"medium","F",10,4076
4318,"B","Ship",4,5,211,4,"medium","F",10,4004
6410,"F","Ship",3,2,164,2,"medium","F",7,4150
4254,"F","Flight",5,5,133,2,"low","F",10,4398
10129,"D","Road",5,2,130,4,"high","M",4,4371
10720,"B","Ship",5,5,221,6,"medium","M",6,1429
2778,"F","Ship",3,4,214,8,"high","F",6,2924
10635,"A","Ship",3,1,241,3,"low","F",10,4120
7343,"C","Ship",4,4,238,3,"low","F",7,4709
6103,"D","Ship",4,3,170,2,"low","M",3,4587
7334,"F","Ship",3,4,158,2,"medium","M",7,4744
9331,"D","Flight",3,2,154,3,"low","F",8,5149
4436,"F","Ship",3,3,261,4,"medium","F",7,4542
6236,"F","Ship",5,4,173,4,"high","F",8,5284
5772,"F","Ship",4,2,270,5,"low","M",6,1520
99,"A","Ship",3,5,144,4,"medium","M",5,1104
7684,"B","Flight",4,3,262,2,"medium","F",3,4064
7983,"A","Ship",4,4,153,4,"low","M",5,5162
3200,"F","Ship",4,4,301,5,"low","M",6,1931
3822,"F","Road",3,4,245,4,"low","M",4,5186
8090,"F","Flight",3,5,262,2,"medium","F",7,4422
6989,"C","Flight",4,5,133,3,"high","F",8,5653
5763,"A","Flight",6,3,245,4,"low","M",2,1158
7805,"C","Flight",3,3,244,4,"medium","M",10,5181
1190,"F","Ship",4,2,173,2,"low","F",30,1336
1459,"D","Ship",3,2,231,3,"low","M",55,3952
5117,"C","Ship",4,1,258,4,"low","M",5,5664
1776,"F","Road",5,5,190,4,"medium","M",12,2947
116,"F","Road",3,4,176,3,"high","M",36,1779
7360,"B","Ship",3,5,241,4,"low","F",3,5051
10572,"F","Ship",3,1,201,3,"medium","F",8,4315
3157,"D","Flight",3,5,132,3,"low","M",7,4013
1749,"A","Ship",4,1,147,3,"low","M",11,1434
1326,"F","Ship",4,3,286,5,"low","M",37,2938
1847,"C","Ship",3,5,241,10,"medium","F",31,2724
9424,"B","Ship",7,5,289,4,"low","M",9,1904
1018,"B","Ship",3,3,148,2,"low","M",42,1950
10846,"B","Ship",4,5,272,4,"medium","F",9,5034
383,"C","Ship",5,4,215,2,"low","F",45,3501
8920,"B","Flight",4,4,248,5,"medium","M",2,1651
771,"A","Ship",3,4,179,4,"low","F",44,1004
5207,"C","Flight",5,5,230,10,"high","M",10,5619
484,"B","Ship",3,2,244,8,"low","F",50,3562
4599,"A","Ship",2,1,255,3,"medium","F",1,5929
6449,"C","Flight",3,4,150,2,"low","F",6,5987
3887,"C","Ship",5,4,230,3,"low","M",1,4727
2563,"D","Ship",4,3,191,3,"high","F",45,3714
9892,"B","Ship",4,4,272,2,"low","M",1,4013
58,"B","Ship",3,3,193,3,"medium","F",29,3453
9701,"C","Road",5,3,256,6,"medium","M",3,1441
4801,"D","Flight",7,1,291,4,"low","M",2,1216
2021,"C","Ship",3,5,212,3,"low","F",2,2456
10710,"F","Ship",5,1,241,5,"low","F",5,1116
2170,"B","Road",5,1,165,3,"low","F",37,1228
1803,"A","Ship",3,5,249,2,"low","F",26,2029
9606,"F","Flight",5,2,255,2,"medium","M",9,5609
1124,"F","Ship",3,5,240,3,"medium","F",54,2919
313,"D","Ship",3,3,140,3,"medium","M",51,1046
6790,"B","Ship",4,4,207,10,"low","F",1,4602
10196,"F","Ship",4,3,264,6,"medium","F",10,1962
822,"F","Flight",2,1,98,3,"low","F",29,1806
6625,"D","Ship",3,2,263,3,"low","F",3,5303
5480,"F","Flight",3,2,209,2,"medium","M",6,5095
5131,"D","Ship",4,5,172,2,"medium","M",7,4559
3382,"B","Ship",3,2,211,6,"low","F",2,4417
10561,"D","Flight",3,4,216,3,"low","F",3,5817
81,"A","Ship",3,4,180,2,"medium","F",49,1942
3328,"B","Ship",4,3,243,3,"medium","M",1,5021
3126,"F","Road",4,4,197,3,"medium","F",41,3280
2194,"B","Flight",3,2,272,3,"medium","F",40,3766
5235,"A","Ship",5,5,271,4,"high","M",10,4305
5663,"C","Ship",4,2,237,3,"low","M",2,5277
2796,"F","Ship",3,2,102,4,"medium","M",57,1220
6472,"B","Ship",4,4,266,3,"low","M",3,5531
2775,"A","Ship",3,1,150,3,"low","F",43,1831
7174,"B","Ship",6,4,286,4,"medium","M",9,1096
1401,"A","Ship",4,3,247,4,"low","M",16,2362
8627,"C","Flight",7,3,307,4,"low","M",1,1793
5605,"D","Road",3,5,253,2,"medium","M",7,5846
7961,"C","Flight",6,1,260,5,"low","F",3,1434
9978,"F","Road",3,2,256,2,"low","F",7,5725
3360,"F","Ship",3,5,150,3,"medium","F",4,4442
8426,"F","Ship",3,1,195,3,"medium","F",3,5961
