"manufacturer","model","price","enginesize","horsepower","wheelbase","power"
"Infiniti","I30",29.465,3,227,108.3,92.43688923
"Jaguar","S-Type",42.8,3,240,114.5,102.1789848
"Jeep","Wrangler",14.46,2.5,120,93.4,48.67289791
"Jeep","Cherokee",21.62,4,190,101.4,76.58443962
"Jeep","Grand Cherokee",26.895,4,195,105.9,80.38777912
"Lexus","ES300",31.505,3,210,105.1,87.21100104
"Lexus","GS300",37.805,3,225,110.2,94.9466984
"Lexus","GS400",46.305,4,300,110.2,125.0133574
"Lexus","LS400",54.005,4,290,112.2,124.4467163
"Lexus","LX470",60.105,4.7,230,112.2,105.760458
"Lexus","RX300",34.605,3,220,103,91.94380156
"Lincoln","Continental",39.08,4.6,275,109,113.5402069
"Lincoln","Town car",43.33,4.6,215,117.7,93.9579169
"Lincoln","Navigator",42.66,5.4,300,119,123.9720467
"Mitsubishi","Mirage",13.987,1.8,113,98.4,45.83218056
"Mitsubishi","Eclipse",19.047,2.4,154,100.8,62.44196235
"Mitsubishi","Galant",17.357,2.4,145,103.7,58.60677292
"Mitsubishi","Diamante",24.997,3.5,210,107.1,84.83077858
"Mitsubishi","3000GT",25.45,3,161,97.2,67.54415494
"Mitsubishi","Montero",31.807,3.5,200,107.3,83.92081504
"Mitsubishi","Montero Sport",22.527,3,173,107.3,70.66094179
"Mercury","Mystique",16.24,2,125,106.5,50.99774761
"Mercury","Cougar",16.54,2,125,106.4,51.11347426
"Mercury","Sable",19.035,3,153,108.5,62.23996663
"Mercury","Grand Marquis",22.605,4.6,200,114.7,80.65769646
"Mercury","Mountaineer",27.56,4,210,111.6,85.94974425
"Mercury","Villager",22.51,3.3,170,112.2,69.671461
"Mercedes-B","C-Class",31.75,2.3,185,105.9,78.28073088
"Mercedes-B","E-Class",49.9,3.2,221,111.5,98.2497375
"Mercedes-B","S-Class",69.7,4.3,275,121.5,125.2738757
"Mercedes-B","SL-Class",82.6,5,302,99,139.9822936
"Mercedes-B","SLK",38.9,2.3,190,94.5,82.80736193
"Mercedes-B","SLK230",41,2.3,185,94.5,81.84896924
"Mercedes-B","CLK Coupe",41.6,3.2,215,105.9,92.92579177
"Mercedes-B","CL500",85.5,5,302,113.6,141.1009845
